pressure,dewpoint,humidity,cloud,sunshine,windspeed,rainfall
1012.3,11.2,56.9,38.9,7.2,9.9,0
1013.9,16.0,68.3,59.5,4.1,15.7,0
1012.5,13.3,76.5,72.2,2.7,19.9,1
1010.2,11.9,54.7,35.8,7.8,11.0,0
1016.0,18.9,84.8,80.2,1.3,22.8,1
1013.1,13.7,61.7,45.3,6.2,10.8,0
1014.7,17.2,73.7,66.4,3.0,16.2,1
1012.1,14.9,52.4,30.7,8.1,8.2,0
1014.3,19.4,78.1,76.7,2.0,18.1,1
1011.0,12.3,58.9,41.1,6.7,12.8,0
1015.5,15.8,65.0,54.8,4.6,14.9,0
1012.8,14.4,80.5,81.0,1.7,20.1,1
1014.4,18.3,71.1,64.0,3.4,17.8,1
1012.4,11.1,57.0,39.3,7.0,9.0,0
1014.0,15.9,67.9,58.8,4.2,15.8,0
1012.6,13.2,75.3,71.5,2.8,19.8,1
1010.3,11.8,55.5,36.2,7.5,11.1,0
1016.1,18.8,83.1,80.6,1.4,22.9,1
1013.2,13.6,60.5,44.6,6.1,10.9,0
1014.8,17.1,72.6,65.7,3.1,16.0,1
1012.2,14.8,53.1,31.0,8.2,8.1,0
1014.4,19.3,79.3,77.4,2.1,18.0,1
1011.1,12.2,58.7,40.8,6.8,12.9,0
1015.6,15.7,64.7,55.5,4.5,14.7,0
1012.9,14.3,81.8,81.3,1.6,20.0,1
1014.5,18.2,70.4,63.9,3.3,17.0,1
1012.5,11.0,56.6,38.7,7.1,9.1,0
1014.1,15.8,68.0,59.1,4.0,15.9,0
1012.7,13.1,76.8,72.8,2.6,19.0,1
1010.4,11.7,54.9,35.1,7.6,11.2,0
1016.2,18.7,84.2,80.9,1.3,22.0,1
1013.3,13.5,61.1,45.0,6.0,10.0,0
1014.9,17.0,73.3,66.2,3.0,16.3,1
1012.3,14.7,52.8,30.4,8.3,8.0,0
1014.5,19.2,78.8,76.0,2.2,18.2,1
1011.2,12.1,58.2,41.4,6.9,12.0,0
1015.7,15.6,65.3,54.1,4.6,14.6,0
1013.0,14.2,80.1,80.7,1.7,20.3,1
1014.6,18.1,71.8,64.6,3.2,17.1,1
1012.6,10.9,57.7,39.0,7.2,9.2,0
1014.2,15.7,67.4,58.6,4.1,15.0,0
1012.8,13.0,75.9,71.1,2.7,19.1,1
1010.5,11.6,55.8,36.5,7.7,11.3,0
1016.3,18.6,83.8,81.4,1.4,22.1,1
1013.4,13.4,60.9,44.3,6.2,10.1,0
1015.0,16.9,72.1,65.5,3.1,16.4,1
1012.4,14.6,53.6,31.7,8.0,8.3,0
1014.6,19.1,79.9,77.7,2.0,18.3,1
1011.3,12.0,58.5,40.1,6.7,12.1,0
1015.8,15.5,64.1,55.8,4.5,14.8,0
1013.1,14.1,81.4,82.0,1.5,20.4,1
1014.7,18.0,70.7,63.5,3.3,17.2,1
1012.7,10.8,56.1,38.2,7.3,9.3,0
1014.3,15.6,68.7,59.4,4.0,15.1,0
1012.9,12.9,76.1,72.5,2.6,19.2,1
1010.6,11.5,54.4,35.4,7.8,11.4,0
1016.4,18.5,84.6,80.3,1.3,22.2,1
1013.5,13.3,61.4,45.7,6.1,10.2,0
1015.1,16.8,73.9,66.9,3.0,16.5,1
1012.5,14.5,52.5,30.1,8.1,8.4,0
1014.7,19.0,78.3,76.3,2.1,18.4,1
1011.4,11.9,58.8,40.7,6.8,12.2,0
1015.9,15.4,64.8,55.4,4.6,14.9,0
1013.2,14.0,80.7,81.2,1.6,20.5,1
1014.8,17.9,71.3,64.1,3.2,17.3,1
1012.8,10.7,57.4,39.6,7.0,9.4,0
1014.4,15.5,67.1,58.1,4.2,15.2,0
1013.0,12.8,75.5,71.8,2.5,19.3,1
1010.7,11.4,55.1,36.9,7.5,11.5,0
1016.5,18.4,83.3,81.7,1.4,22.3,1
1013.6,13.2,60.3,44.0,6.0,10.3,0
1015.2,16.7,72.8,65.2,3.1,16.6,1
1012.6,14.4,53.3,31.3,8.2,8.5,0
1014.8,18.9,79.6,77.0,2.0,18.5,1
1011.5,11.8,58.1,41.3,6.9,12.3,0
1016.0,15.3,64.4,55.1,4.7,14.0,0
1013.3,13.9,81.0,81.5,1.5,20.6,1
1014.9,17.8,70.2,63.8,3.3,17.4,1
1012.9,10.6,56.8,38.5,7.1,9.5,0
1014.5,15.4,68.4,59.0,4.1,15.3,0
1013.1,12.7,76.7,72.1,2.6,19.4,1
1010.8,11.3,54.8,35.0,7.6,11.6,0
1016.6,18.3,84.9,80.0,1.3,22.4,1
1013.7,13.1,61.8,45.5,6.2,10.4,0
1015.3,16.6,73.4,66.5,3.0,16.7,1
1012.7,14.3,52.9,30.9,8.0,8.6,0
1014.9,18.8,78.0,76.6,2.1,18.6,1
1011.6,11.7,58.6,40.4,6.7,12.4,0
1016.1,15.2,64.0,55.7,4.5,14.1,0
1013.4,13.8,80.4,81.9,1.6,20.7,1
1015.0,17.7,71.6,64.4,3.2,17.5,1
1013.0,10.5,57.2,39.9,7.2,9.6,0
1014.6,15.3,67.7,58.7,4.0,15.4,0
1013.2,12.6,75.0,71.4,2.7,19.5,1
1010.9,11.2,55.6,36.3,7.7,11.7,0
1016.7,18.2,83.0,81.3,1.4,22.5,1
1013.8,13.0,60.0,44.7,6.1,10.5,0
1015.4,16.5,72.5,65.8,3.1,16.8,1
1012.8,14.2,53.0,31.6,8.1,8.7,0
1015.0,18.7,79.2,77.3,2.0,18.7,1
1011.7,11.6,58.3,40.9,6.8,12.5,0
1016.2,15.1,64.6,55.3,4.6,14.2,0
1013.5,13.7,81.6,82.2,1.5,20.8,1
1015.1,17.6,70.5,63.1,3.3,17.6,1
1013.1,10.4,56.4,38.1,7.3,9.7,0
1014.7,15.2,68.1,59.3,4.1,15.5,0
1013.3,12.5,76.4,72.7,2.6,19.6,1
1011.0,11.1,54.2,35.7,7.8,11.8,0
1016.8,18.1,84.3,80.7,1.3,22.6,1
1013.9,12.9,61.2,45.1,6.0,10.6,0
1015.5,16.4,73.0,66.0,3.0,16.9,1
1012.9,14.1,52.7,30.3,8.2,8.8,0
1015.1,18.6,78.7,76.9,2.1,18.8,1
1011.8,11.5,58.9,41.2,6.9,12.6,0
1016.3,15.0,64.2,55.9,4.5,14.3,0
1013.6,13.6,80.9,81.4,1.6,20.9,1
1015.2,17.5,71.9,64.8,3.2,17.7,1
1013.2,10.3,57.8,39.4,7.0,9.8,0
1014.8,15.1,67.3,58.4,4.2,15.6,0
1013.4,12.4,75.6,71.0,2.7,19.7,1
1011.1,11.0,55.3,36.0,7.5,11.9,0
1016.9,18.0,83.7,81.0,1.4,22.7,1
1014.0,12.8,60.6,44.4,6.2,10.7,0
1015.6,16.3,72.2,65.4,3.1,16.0,1
1013.0,14.0,53.4,31.9,8.0,8.9,0
1015.2,18.5,79.4,77.6,2.0,18.9,1
1011.9,11.4,58.0,40.6,6.7,12.7,0
1016.4,14.9,64.9,55.0,4.6,14.4,0
1013.7,13.5,81.3,81.7,1.5,20.0,1
1015.3,17.4,70.1,63.6,3.3,17.8,1
1013.3,10.2,56.9,38.8,7.1,9.9,0
1014.9,15.0,68.8,59.9,4.0,15.7,0
1013.5,12.3,76.9,72.3,2.6,19.8,1
1011.2,10.9,54.9,35.3,7.6,11.0,0
1017.0,17.9,84.0,80.4,1.3,22.8,1
1014.1,12.7,61.5,45.8,6.1,10.8,0
1015.7,16.2,73.6,66.7,3.0,16.1,1
1013.1,13.9,52.5,30.0,8.1,8.0,0
1015.3,18.4,78.2,76.2,2.1,18.0,1
1012.0,11.3,58.7,41.0,6.8,12.8,0
1016.5,14.8,64.5,55.6,4.5,14.5,0
1013.8,13.4,80.6,81.1,1.6,20.1,1
1015.4,17.3,71.4,64.3,3.2,17.9,1
1013.4,10.1,57.5,39.2,7.2,9.0,0
1015.0,14.9,67.0,58.0,4.2,15.8,0
1013.6,12.2,75.2,71.7,2.5,19.9,1
1011.3,10.8,55.7,36.6,7.7,11.1,0
1017.1,17.8,83.4,81.8,1.4,22.9,1
1014.2,12.6,60.2,44.1,6.0,10.9,0
1015.8,16.1,72.9,65.1,3.1,16.2,1
1013.2,13.8,53.9,31.2,8.2,8.1,0
1015.4,18.3,79.8,77.9,2.0,18.1,1
1012.1,11.2,58.4,40.2,6.9,12.9,0
1016.6,14.7,64.1,55.2,4.6,14.6,0
1013.9,13.3,81.9,82.5,1.5,20.2,1
1015.5,17.2,70.8,63.0,3.3,17.0,1
1013.5,10.0,56.0,38.6,7.3,9.1,0
1015.1,14.8,68.5,59.6,4.1,15.9,0
1013.7,12.1,76.6,72.0,2.6,19.0,1
1011.4,10.7,54.5,35.9,7.8,11.2,0
1017.2,17.7,84.7,80.1,1.3,22.0,1
1014.3,12.5,61.9,45.4,6.2,10.0,0
1015.9,16.0,73.2,66.4,3.0,16.3,1
1013.3,13.7,52.3,30.6,8.0,8.2,0
1015.5,18.2,78.9,76.5,2.1,18.2,1
1012.2,11.1,58.1,40.8,6.7,12.0,0
1016.7,14.6,64.8,55.8,4.5,14.7,0
1014.0,13.2,80.3,81.6,1.6,20.3,1
1015.6,17.1,71.0,64.7,3.2,17.1,1
1013.6,9.9,57.6,39.0,7.0,9.2,0
1015.2,14.7,67.6,58.2,4.2,15.0,0
1013.8,12.0,75.8,71.3,2.7,19.1,1
1011.5,10.6,55.2,36.2,7.5,11.3,0
1017.3,17.6,83.9,81.4,1.4,22.1,1
1014.4,12.4,60.7,44.7,6.1,10.1,0
1016.0,15.9,72.6,65.0,3.1,16.4,1
1013.4,13.6,53.7,31.5,8.1,8.3,0
1015.6,18.1,79.5,77.2,2.0,18.3,1
1012.3,11.0,58.8,40.4,6.8,12.1,0
1016.8,14.5,64.4,55.4,4.6,14.8,0
1014.1,13.1,81.7,82.1,1.5,20.4,1
1015.7,17.0,70.4,63.4,3.3,17.2,1
1013.7,9.8,57.1,38.4,7.1,9.3,0
1015.3,14.6,68.2,59.8,4.0,15.1,0
1013.9,11.9,76.2,72.6,2.6,19.2,1
1011.6,10.5,54.9,35.6,7.6,11.4,0
1017.4,17.5,84.2,80.8,1.3,22.2,1
1014.5,12.3,61.3,45.0,6.0,10.2,0
1016.1,15.8,73.8,66.6,3.0,16.5,1
1013.5,13.5,52.9,30.2,8.2,8.4,0
1015.7,18.0,78.6,76.8,2.1,18.4,1
1012.4,10.9,58.5,41.0,6.9,12.2,0
1016.9,14.4,64.0,55.1,4.5,14.9,0
1014.2,13.0,80.8,81.4,1.6,20.5,1
1015.8,16.9,71.7,64.0,3.2,17.3,1
1013.8,9.7,57.7,39.8,7.0,9.4,0
1015.4,14.5,67.8,58.5,4.1,15.2,0
1014.0,11.8,75.4,71.9,2.5,19.3,1
1011.7,10.4,55.5,36.0,7.7,11.5,0
1017.5,17.4,83.6,81.2,1.4,22.3,1
1014.6,12.2,60.1,44.4,6.2,10.3,0
1016.2,15.7,72.3,65.3,3.1,16.6,1
1013.6,13.4,53.2,31.8,8.0,8.5,0
1015.8,17.9,79.1,77.5,2.0,18.5,1
1012.5,10.8,58.2,40.6,6.7,12.3,0
1017.0,14.3,64.7,55.7,4.4,14.0,0
1014.3,12.9,81.2,81.7,1.5,20.6,1
1015.9,16.8,70.9,64.6,3.2,17.4,1
1013.9,9.6,57.3,39.2,7.1,9.5,0
1015.5,14.4,67.4,58.1,4.2,15.3,0
1014.1,11.7,75.9,71.2,2.7,19.4,1
1011.8,10.3,55.1,35.4,7.8,11.6,0
1017.6,17.3,84.8,80.5,1.3,22.4,1
1014.7,12.1,61.7,45.6,6.1,10.4,0
1016.3,15.6,73.4,66.0,3.0,16.7,1
1013.7,13.3,52.8,30.5,8.1,8.6,0
1015.9,17.8,78.8,76.1,2.1,18.6,1
1012.6,10.7,58.9,41.2,6.8,12.4,0
1017.1,14.2,64.3,55.3,4.5,14.1,0
1014.4,12.8,80.5,81.0,1.6,20.7,1
1016.0,16.7,71.2,64.2,3.2,17.5,1
1014.0,9.5,57.9,39.6,7.0,9.6,0
1015.6,14.3,68.0,59.7,4.0,15.4,0
1014.2,11.6,75.5,71.5,2.6,19.5,1
1011.9,10.2,55.7,36.8,7.5,11.7,0
1017.7,17.2,83.2,81.9,1.4,22.5,1
1014.8,12.0,60.4,44.0,6.0,10.5,0
1016.4,15.5,72.9,65.6,3.1,16.8,1
1013.8,13.2,53.4,31.1,8.2,8.7,0
1016.0,17.7,79.7,77.8,2.0,18.7,1
1012.7,10.6,58.6,40.8,6.9,12.5,0
1017.2,14.1,64.9,55.9,4.4,14.2,0
1014.5,12.7,81.8,82.3,1.5,20.8,1
1016.1,16.6,70.6,63.9,3.2,17.6,1
1014.1,9.4,57.0,38.0,7.1,9.7,0
1015.7,14.2,67.6,58.3,4.1,15.5,0
1014.3,11.5,75.0,71.8,2.7,19.6,1
1012.0,10.1,55.3,36.1,7.6,11.8,0
1017.8,17.1,84.4,80.2,1.3,22.6,1
1014.9,11.9,61.0,45.2,6.2,10.6,0
1016.5,15.4,73.0,66.2,3.0,16.9,1
1013.9,13.1,52.5,30.8,8.0,8.8,0
1016.1,17.6,78.4,76.4,2.1,18.8,1
1012.8,10.5,58.3,41.4,6.7,12.6,0
1017.3,14.0,64.5,55.0,4.5,14.3,0
1014.6,12.6,80.1,81.6,1.6,20.9,1
1016.2,16.5,71.5,64.5,3.2,17.7,1
1014.2,9.3,57.6,39.4,7.0,9.8,0
1015.8,14.1,68.2,59.9,4.0,15.6,0
1014.4,11.4,76.5,72.1,2.6,19.7,1
1012.1,10.0,55.9,36.5,7.5,11.9,0
1017.9,17.0,83.8,81.5,1.4,22.7,1
1015.0,11.8,60.8,44.6,6.1,10.7,0
1016.6,15.3,72.7,65.9,3.1,16.0,1
1014.0,13.0,53.9,31.3,8.1,8.9,0
1016.2,17.5,79.9,77.1,2.0,18.9,1
1012.9,10.4,58.9,40.0,6.8,12.7,0
1017.4,13.9,64.1,55.6,4.4,14.4,0
1014.7,12.5,81.4,81.9,1.5,20.0,1
1016.3,16.4,70.2,63.2,3.3,17.8,1
1014.3,9.2,57.2,38.8,7.1,9.9,0
1015.9,14.0,67.8,58.0,4.2,15.7,0
1014.5,11.3,75.1,71.4,2.7,19.8,1
1012.2,9.9,55.0,35.9,7.6,11.0,0
1018.0,16.9,84.1,80.9,1.3,22.8,1
1015.1,11.7,61.4,45.8,6.0,10.8,0
1016.7,15.2,73.3,66.5,3.0,16.1,1
1014.1,12.9,52.3,30.4,8.2,8.0,0
1016.3,17.4,78.0,76.7,2.1,18.0,1
1013.0,10.3,58.0,41.1,6.9,12.8,0
1017.5,13.8,64.8,55.2,4.5,14.5,0
1014.8,12.4,80.7,81.2,1.6,20.1,1
1016.4,16.3,71.8,64.9,3.2,17.9,1
1014.4,9.1,57.8,39.2,7.0,9.0,0
1016.0,13.9,67.4,58.6,4.1,15.8,0
1014.6,11.2,76.6,71.7,2.5,19.9,1
1012.3,9.8,55.6,36.3,7.7,11.1,0
1018.1,16.8,83.5,81.3,1.4,22.9,1
1015.2,11.6,60.2,44.2,6.2,10.9,0
1016.8,15.1,72.0,65.2,3.1,16.2,1
1014.2,12.8,53.8,31.0,8.0,8.1,0
1016.4,17.3,79.6,77.4,2.0,18.1,1
1013.1,10.2,58.7,40.7,6.7,12.9,0
1017.6,13.7,64.4,55.8,4.4,14.6,0
1014.9,12.3,81.0,81.5,1.5,20.2,1
1016.5,16.2,70.5,63.5,3.3,17.0,1
1014.5,9.0,57.4,38.6,7.1,9.1,0
1016.1,13.8,68.0,59.2,4.0,15.9,0
1014.7,11.1,75.2,72.0,2.6,19.0,1
1012.4,9.7,55.2,35.7,7.8,11.2,0
1018.2,16.7,84.8,80.0,1.3,22.0,1
1015.3,11.5,61.8,45.4,6.1,10.0,0
1016.9,15.0,73.9,66.8,3.0,16.3,1
1014.3,12.7,52.4,30.1,8.1,8.2,0
1016.5,17.2,78.2,76.0,2.1,18.2,1
1013.2,10.1,58.4,41.3,6.8,12.0,0
1017.7,13.6,64.0,55.4,4.5,14.7,0
1015.0,12.2,80.4,81.9,1.6,20.3,1
1016.6,16.1,71.1,64.1,3.2,17.1,1
1014.6,8.9,57.0,38.0,7.2,9.2,0
1016.2,13.7,67.6,58.8,4.1,15.0,0
1014.8,11.0,76.7,71.3,2.7,19.1,1
1012.5,9.6,55.8,36.1,7.5,11.3,0
1018.3,16.6,83.1,81.4,1.4,22.1,1
1015.4,11.4,60.5,44.8,6.0,10.1,0
1017.0,14.9,72.6,65.5,3.1,16.4,1
1014.4,12.6,53.5,31.6,8.2,8.3,0
1016.6,17.1,79.3,77.7,2.0,18.3,1
1013.3,10.0,58.1,40.9,6.9,12.1,0
1017.8,13.5,64.6,55.0,4.4,14.8,0
1015.1,12.1,81.7,82.2,1.5,20.4,1
1016.7,16.0,70.7,63.8,3.2,17.2,1
1014.7,8.8,57.6,39.4,7.0,9.3,0
1016.3,13.6,68.2,59.4,4.0,15.1,0
1014.9,10.9,75.3,71.6,2.6,19.2,1
1012.6,9.5,55.4,35.5,7.6,11.4,0
1018.4,16.5,84.4,80.7,1.3,22.2,1
1015.5,11.3,61.1,45.0,6.2,10.2,0
1017.1,14.8,73.2,66.1,3.0,16.5,1
1014.5,12.5,52.9,30.3,8.0,8.4,0
1016.7,17.0,78.9,76.3,2.1,18.4,1
1013.4,9.9,58.8,41.0,6.7,12.2,0
1017.9,13.4,64.2,55.6,4.5,14.9,0
1015.2,12.0,80.9,81.5,1.6,20.5,1
1016.8,15.9,71.3,64.4,3.2,17.3,1
1014.8,8.7,57.2,38.8,7.1,9.4,0
1016.4,13.5,67.8,58.0,4.1,15.2,0
1015.0,10.8,76.8,71.9,2.5,19.3,1
1012.7,9.4,55.0,35.9,7.7,11.5,0
1018.5,16.4,83.7,81.1,1.4,22.3,1
1015.6,11.2,60.9,44.4,6.1,10.3,0
1017.2,14.7,72.9,65.8,3.1,16.6,1
1014.6,12.4,53.3,31.0,8.1,8.5,0
1016.8,16.9,79.0,77.0,2.0,18.5,1
1013.5,9.8,58.0,40.6,6.8,12.3,0
1018.0,13.3,64.9,55.2,4.4,14.0,0
1015.3,11.9,81.2,81.8,1.5,20.6,1
1016.9,15.8,70.9,63.1,3.3,17.4,1
1014.9,8.6,57.8,39.2,7.0,9.5,0
1016.5,13.4,67.4,58.6,4.2,15.3,0
1015.1,10.7,75.4,71.2,2.7,19.4,1
1012.8,9.3,55.6,36.3,7.5,11.6,0
1018.6,16.3,84.0,80.4,1.3,22.4,1
1015.7,11.1,60.3,44.0,6.0,10.4,0
1017.3,14.6,72.0,65.4,3.1,16.7,1
1014.7,12.3,53.9,31.5,8.2,8.6,0
1016.9,16.8,79.6,77.6,2.0,18.6,1
1013.6,9.7,58.7,41.2,6.9,12.4,0
1018.1,13.2,64.5,55.8,4.5,14.1,0
1015.4,11.8,80.6,81.2,1.6,20.7,1
1017.0,15.7,71.5,64.8,3.2,17.5,1
1015.0,8.5,57.4,38.6,7.1,9.6,0
1016.6,13.3,68.0,59.2,4.0,15.4,0
1015.2,10.6,76.9,71.5,2.6,19.5,1
1012.9,9.2,55.2,35.7,7.6,11.7,0
1018.7,16.2,84.6,80.9,1.3,22.5,1
1015.8,11.0,61.7,45.6,6.2,10.5,0
1017.4,14.5,73.6,66.0,3.0,16.8,1
1014.8,12.2,52.5,30.1,8.0,8.7,0
1017.0,16.7,78.2,76.2,2.1,18.7,1
1013.7,9.6,58.4,40.8,6.7,12.5,0
1018.2,13.1,64.1,55.4,4.4,14.2,0
1015.5,11.7,81.9,82.0,1.5,20.8,1
1017.1,15.6,70.2,63.4,3.3,17.6,1
1015.1,8.4,57.0,38.0,7.2,9.7,0
1016.7,13.2,67.6,58.8,4.1,15.5,0
1015.3,10.5,75.0,71.8,2.7,19.6,1
1013.0,9.1,55.8,36.1,7.5,11.8,0
1018.8,16.1,83.9,81.3,1.4,22.6,1
1015.9,10.9,60.0,44.2,6.1,10.6,0
1017.5,14.4,72.7,65.7,3.1,16.9,1
1014.9,12.1,53.9,31.3,8.1,8.8,0
1017.1,16.6,79.8,77.9,2.0,18.8,1
1013.8,9.5,58.1,40.4,6.8,12.6,0
1018.3,13.0,64.8,55.0,4.5,14.3,0
1015.6,11.6,80.3,81.5,1.6,20.9,1
1017.2,15.5,71.8,64.0,3.2,17.7,1
1015.2,8.3,57.6,39.4,7.0,9.8,0
1016.8,13.1,68.2,59.4,4.0,15.6,0
1015.4,10.4,76.5,72.1,2.6,19.7,1
1013.1,9.0,55.4,35.5,7.6,11.9,0
1018.9,16.0,84.2,80.0,1.3,22.7,1
1016.0,10.8,61.4,45.8,6.0,10.7,0
1017.6,14.3,73.3,66.3,3.0,16.0,1
1015.0,12.0,52.3,30.0,8.2,8.9,0
1017.2,16.5,78.9,76.5,2.1,18.9,1
1013.9,9.4,58.8,41.0,6.9,12.7,0
1018.4,12.9,64.4,55.6,4.4,14.4,0
1015.7,11.5,81.6,81.8,1.5,20.0,1
1017.3,15.4,70.4,63.7,3.2,17.8,1
1015.3,8.2,57.2,38.8,7.1,9.9,0
1016.9,13.0,67.8,58.0,4.1,15.7,0
1015.5,10.3,75.1,71.4,2.7,19.8,1
